region	round_number	season	start_date	end_date	grade	measures	cohort
Newark	1	BOY->MOY	2026-09-28	2026-10-02	0	PSF	Both
Newark	1	BOY->MOY	2026-09-28	2026-10-02	1	PSF	Both
Newark	1	BOY->MOY	2026-09-28	2026-10-02	2	NWF	Both
Newark	1	BOY->MOY	2026-09-28	2026-10-02	3	NWF,ORF	Well Below
Newark	1	BOY->MOY	2026-09-28	2026-10-02	4	ORF	Well Below
Newark	1	BOY->MOY	2026-09-28	2026-10-02	5	ORF	Well Below
Newark	1	BOY->MOY	2026-09-28	2026-10-02	6	ORF	Well Below
Newark	1	BOY->MOY	2026-09-28	2026-10-02	7	ORF	Well Below
Newark	1	BOY->MOY	2026-09-28	2026-10-02	8	ORF	Well Below
Newark	2	BOY->MOY	2026-10-19	2026-10-23	0	PSF	Both
Newark	2	BOY->MOY	2026-10-19	2026-10-23	1	PSF	Both
Newark	2	BOY->MOY	2026-10-19	2026-10-23	2	NWF	Both
Newark	2	BOY->MOY	2026-10-19	2026-10-23	3	NWF,ORF,MAZE	Both
Newark	2	BOY->MOY	2026-10-19	2026-10-23	4	ORF,MAZE	Both
Newark	2	BOY->MOY	2026-10-19	2026-10-23	5	ORF,MAZE	Both
Newark	2	BOY->MOY	2026-10-19	2026-10-23	6	ORF,MAZE	Both
Newark	2	BOY->MOY	2026-10-19	2026-10-23	7	ORF,MAZE	Both
Newark	2	BOY->MOY	2026-10-19	2026-10-23	8	ORF,MAZE	Both
Newark	3	BOY->MOY	2026-11-16	2026-11-20	0	PSF	Both
Newark	3	BOY->MOY	2026-11-16	2026-11-20	1	PSF,NWF	Both
Newark	3	BOY->MOY	2026-11-16	2026-11-20	2	NWF	Both
Newark	3	BOY->MOY	2026-11-16	2026-11-20	3	NWF,ORF	Well Below
Newark	3	BOY->MOY	2026-11-16	2026-11-20	4	ORF	Well Below
Newark	3	BOY->MOY	2026-11-16	2026-11-20	5	ORF	Well Below
Newark	3	BOY->MOY	2026-11-16	2026-11-20	6	ORF	Well Below
Newark	3	BOY->MOY	2026-11-16	2026-11-20	7	ORF	Well Below
Newark	3	BOY->MOY	2026-11-16	2026-11-20	8	ORF	Well Below
Newark	4	BOY->MOY	2026-12-14	2026-12-18	0	NWF	Both
Newark	4	BOY->MOY	2026-12-14	2026-12-18	1	NWF	Both
Newark	4	BOY->MOY	2026-12-14	2026-12-18	2	NWF,ORF	Both
Newark	4	BOY->MOY	2026-12-14	2026-12-18	3	NWF,ORF	Both
Newark	4	BOY->MOY	2026-12-14	2026-12-18	4	ORF	Both
Newark	4	BOY->MOY	2026-12-14	2026-12-18	5	ORF	Both
Newark	4	BOY->MOY	2026-12-14	2026-12-18	6	ORF	Both
Newark	4	BOY->MOY	2026-12-14	2026-12-18	7	ORF	Both
Newark	4	BOY->MOY	2026-12-14	2026-12-18	8	ORF	Both
Newark	5	MOY->EOY	2027-02-01	2027-02-05	0	NWF	Both
Newark	5	MOY->EOY	2027-02-01	2027-02-05	1	NWF	Both
Newark	5	MOY->EOY	2027-02-01	2027-02-05	2	NWF	Both
Newark	5	MOY->EOY	2027-02-01	2027-02-05	3	NWF,ORF	Well Below
Newark	5	MOY->EOY	2027-02-01	2027-02-05	4	ORF	Well Below
Newark	5	MOY->EOY	2027-02-01	2027-02-05	5	ORF	Well Below
Newark	5	MOY->EOY	2027-02-01	2027-02-05	6	ORF	Well Below
Newark	5	MOY->EOY	2027-02-01	2027-02-05	7	ORF	Well Below
Newark	5	MOY->EOY	2027-02-01	2027-02-05	8	ORF	Well Below
Newark	6	MOY->EOY	2027-02-22	2027-02-26	0	NWF	Both
Newark	6	MOY->EOY	2027-02-22	2027-02-26	1	NWF,ORF	Both
