region	round_number	season	start_date	end_date	plit1_start
Newark	1	BOY->MOY	2026-09-28	2026-10-02	2026-08-19
Newark	2	BOY->MOY	2026-10-19	2026-10-23	
Newark	3	BOY->MOY	2026-11-16	2026-11-20	
Newark	4	BOY->MOY	2026-12-14	2026-12-18	
Newark	5	MOY->EOY	2027-02-01	2027-02-05	
Newark	6	MOY->EOY	2027-02-22	2027-02-26	
Newark	7	MOY->EOY	2027-03-15	2027-03-19	
Newark	8	MOY->EOY	2027-05-03	2027-05-07	
Paterson	1	BOY->MOY	2026-09-28	2026-10-02	2026-08-19
Paterson	2	BOY->MOY	2026-10-19	2026-10-23	
Paterson	3	BOY->MOY	2026-11-16	2026-11-20	
Paterson	4	BOY->MOY	2026-12-14	2026-12-18	
Paterson	5	MOY->EOY	2027-02-01	2027-02-05	
Paterson	6	MOY->EOY	2027-02-22	2027-02-26	
Paterson	7	MOY->EOY	2027-03-15	2027-03-19	
Paterson	8	MOY->EOY	2027-05-03	2027-05-07	
Camden	1	BOY->MOY	2026-09-28	2026-10-02	2026-08-13
Camden	2	BOY->MOY	2026-10-26	2026-10-30	
Camden	3	BOY->MOY	2026-11-16	2026-11-20	
Camden	4	MOY->EOY	2027-03-01	2027-03-05	
Camden	5	MOY->EOY	2027-04-05	2027-04-09	
Camden	6	MOY->EOY	2027-05-03	2027-05-07	
