job_function_code,job_function_name,entity,department_type,job_function_level,scope_level,student_access_level,staff_access_level,has_student_pii,has_staff_pii,has_staff_compensation,has_staff_benefits,has_staff_observations,survey_access_level
CHIEF,Chief Level,,,1,network,detail,detail,TRUE,TRUE,TRUE,,TRUE,detail
EDHOS,"EDs, HOSs, MDOs",,,2,region,detail,detail,TRUE,TRUE,TRUE,FALSE,TRUE,detail
SL,School Leader,,,4,school,detail,detail,TRUE,TRUE,TRUE,FALSE,TRUE,detail
DSO,DSOs,,,4,school,detail,detail,TRUE,TRUE,TRUE,FALSE,TRUE,detail
ASL,Assistant School Leaders,,,5,school,detail,detail,TRUE,teaching_staff,teaching_staff,FALSE,teaching_staff,summary
DEAN,Deans,,,6,school,detail,summary_reporting_chain,TRUE,reporting_chain,reporting_chain,FALSE,reporting_chain,summary
SCOPS,"ADSOs, Ops-SOMs, AOMs, & Receptionists",,,6,school,detail,summary_reporting_chain,TRUE,reporting_chain,reporting_chain,FALSE,reporting_chain,summary
NINST,School-based Non-Instructional Staff,,,6,school,detail,summary_reporting_chain,TRUE,reporting_chain,reporting_chain,FALSE,reporting_chain,summary
TEACH,Teacher,,,6,school,detail,summary_reporting_chain,TRUE,reporting_chain,reporting_chain,FALSE,reporting_chain,summary
TIR,Teacher in Residence,,,6,school,detail,summary_reporting_chain,TRUE,reporting_chain,reporting_chain,FALSE,reporting_chain,summary
MGDIR,KTAF or Regional Managing Director,KTAF,instructional,3,network,detail,summary_reporting_chain,TRUE,reporting_chain,reporting_chain,FALSE,reporting_chain,summary
DIR,KTAF or Regional Director,KTAF,instructional,4,network + department_group,detail,summary_reporting_chain,TRUE,reporting_chain,reporting_chain,FALSE,reporting_chain,summary
KTRGS,KTAF or Regional Staff,KTAF,instructional,5,network + department_group,detail,summary_reporting_chain,TRUE,reporting_chain,reporting_chain,FALSE,reporting_chain,summary
MGDIR,KTAF or Regional Managing Director,KTAF,non-instructional,3,network,summary,summary_reporting_chain,FALSE,reporting_chain,reporting_chain,FALSE,reporting_chain,summary
DIR,KTAF or Regional Director,KTAF,non-instructional,4,network + department_group,summary,summary_reporting_chain,FALSE,reporting_chain,reporting_chain,FALSE,reporting_chain,summary
KTRGS,KTAF or Regional Staff,KTAF,non-instructional,5,network + department_group,summary,summary_reporting_chain,FALSE,reporting_chain,reporting_chain,FALSE,reporting_chain,summary
MGDIR,KTAF or Regional Managing Director,Region,instructional,3,region,detail,summary_reporting_chain,TRUE,reporting_chain,reporting_chain,FALSE,reporting_chain,summary
DIR,KTAF or Regional Director,Region,instructional,4,region + department_group,detail,summary_reporting_chain,TRUE,reporting_chain,reporting_chain,FALSE,reporting_chain,summary
KTRGS,KTAF or Regional Staff,Region,instructional,5,region + department_group,detail,summary_reporting_chain,TRUE,reporting_chain,reporting_chain,FALSE,reporting_chain,summary
MGDIR,KTAF or Regional Managing Director,Region,non-instructional,3,region,summary,summary_reporting_chain,FALSE,reporting_chain,reporting_chain,FALSE,reporting_chain,summary
DIR,KTAF or Regional Director,Region,non-instructional,4,region + department_group,summary,summary_reporting_chain,FALSE,reporting_chain,reporting_chain,FALSE,reporting_chain,summary
KTRGS,KTAF or Regional Staff,Region,non-instructional,5,region + department_group,summary,summary_reporting_chain,FALSE,reporting_chain,reporting_chain,FALSE,reporting_chain,summary
