entity,attribute_camel,attribute_snake,description
edFi_academicWeek,id,id,
edFi_academicWeek,weekIdentifier,week_identifier,The school label for the week.
edFi_academicWeek,schoolReference,school_reference,
edFi_academicWeek,beginDate,begin_date,"The start date for the academic week.  Note: Date interpretation may vary. Ed-Fi recommends inclusive dates, but states may define dates as inclusive or exclusive. For calculations, align with local guidelines."
edFi_academicWeek,endDate,end_date,"The end date for the academic week.  Note: Date interpretation may vary. Ed-Fi recommends inclusive dates, but states may define dates as inclusive or exclusive. For calculations, align with local guidelines."
edFi_academicWeek,totalInstructionalDays,total_instructional_days,The total instructional days during the academic week.
edFi_academicWeekReference,schoolId,school_id,"The identifier assigned to a school. It must be distinct from any other identifier assigned to educational organizations, such as a LocalEducationAgencyId, to prevent duplication."
edFi_academicWeekReference,weekIdentifier,week_identifier,The school label for the week.
edFi_academicWeekReference,link,link,
edFi_accountabilityRating,id,id,
edFi_accountabilityRating,ratingTitle,rating_title,The title of the rating.
edFi_accountabilityRating,educationOrganizationReference,education_organization_reference,
edFi_accountabilityRating,schoolYearTypeReference,school_year_type_reference,
edFi_accountabilityRating,rating,rating,"An accountability rating level, designation, or assessment."
edFi_accountabilityRating,ratingDate,rating_date,The date the rating was awarded.
edFi_accountabilityRating,ratingOrganization,rating_organization,The organization that assessed the rating.
edFi_accountabilityRating,ratingProgram,rating_program,"The program associated with the accountability rating (e.g., NCLB, AEIS)."
edFi_applicantProfile,id,id,
edFi_applicantProfile,applicantProfileIdentifier,applicant_profile_identifier,Identifier assigned to a person making formal application for entrance into a program or an open staff position.
edFi_applicantProfile,addresses,addresses,"An unordered collection of applicantProfileAddresses. The set of elements that describes an address, including the street address, city, state, and ZIP code."
edFi_applicantProfile,applicantCharacteristics,applicant_characteristics,An unordered collection of applicantProfileApplicantCharacteristics. Reflects important characteristics of the applicant's home situation.
edFi_applicantProfile,backgroundChecks,background_checks,An unordered collection of applicantProfileBackgroundChecks. Applicant background check history and disposition.
edFi_applicantProfile,birthDate,birth_date,"The month, day, and year on which an individual was born."
edFi_applicantProfile,citizenshipStatusDescriptor,citizenship_status_descriptor,An indicator of whether or not the person is a U.S. citizen.
edFi_applicantProfile,disabilities,disabilities,An unordered collection of applicantProfileDisabilities. The disability condition(s) that best describes an individual's impairment.
edFi_applicantProfile,economicDisadvantageDescriptor,economic_disadvantage_descriptor,"An indication of inadequate financial condition of an individual's family, as determined by family income, number of family members/dependents, participation in public assistance programs, and/or other characteristics considered relevant by federal, state, and local policy."
edFi_applicantProfile,educatorPreparationProgramNames,educator_preparation_program_names,An unordered collection of applicantProfileEducatorPreparationProgramNames. The teacher preparation program(s) completed by the teacher.
edFi_applicantProfile,electronicMails,electronic_mails,"An unordered collection of applicantProfileElectronicMails. The numbers, letters, and symbols used to identify an electronic mail (e-mail) user within the network to which the individual or organization belongs."
edFi_applicantProfile,firstGenerationStudent,first_generation_student,Indicator of whether individual is a first generation college student.
edFi_applicantProfile,firstName,first_name,"A name given to an individual at birth, baptism, or during another naming ceremony, or through legal change."
edFi_applicantProfile,genderIdentity,gender_identity,The gender the person identifies themselves as.
edFi_applicantProfile,generationCodeSuffix,generation_code_suffix,"An appendage, if any, used to denote an individual's generation in his family (e.g., Jr., Sr., III)."
edFi_applicantProfile,gradePointAverages,grade_point_averages,An unordered collection of applicantProfileGradePointAverages. Data that provides information on a measure of average performance in a group of courses taken by an individual.
edFi_applicantProfile,highestCompletedLevelOfEducationDescriptor,highest_completed_level_of_education_descriptor,The extent of formal instruction an individual has received.
edFi_applicantProfile,highlyQualifiedAcademicSubjects,highly_qualified_academic_subjects,"An unordered collection of applicantProfileHighlyQualifiedAcademicSubjects. The academic subject(s) in which the staff is deemed to be ""highly qualified""."
edFi_applicantProfile,highlyQualifiedTeacher,highly_qualified_teacher,An indication of whether a teacher is classified as highly qualified for his/her assignment according to state definition. This attribute indicates the teacher is highly qualified for all sections being taught.
