entity,attribute_camel,attribute_snake,description
ApipInteraction,APIPInteractionSequenceNumber,apip_interaction_sequence_number,The position of this APIP Interaction in a sequence of interactions.
PostsecondaryStudentAcademicAward,AcademicAwardDate,academic_award_date,"The year, month and day or year and month on which the academic award was conferred."
PostsecondaryStudentAcademicAward,AcademicAwardRequirementsURL,academic_award_requirements_url,A URL to a page that describes the requirements for the credential.
PostsecondaryStudentAcademicAward,AcademicAwardTitle,academic_award_title,The descriptive title for the academic award.
PostsecondaryStudentAcademicRecord,AcademicYearDesignator,academic_year_designator,The academic year for which the data apply.
AccessibilityFeature,AccessibilityFeatureOtherDescription,accessibility_feature_other_description,The description of the accessibility feature when 'Accessibility Feature Type' is set to 'Other'.
IndividualizedProgramAccessibleFormat,AccessibleFormatIssuedBeginDate,accessible_format_issued_begin_date,The date the student was issued any accessible format(s).
IndividualizedProgramAccessibleFormat,AccessibleFormatIssuedEndDate,accessible_format_issued_end_date,The end date for the issuance of accessible format(s) to the student.
OrganizationFederalAccountability,AccountabilityReportTitle,accountability_report_title,The title of the accountability report.
OrganizationAccreditation,AccreditationAwardDate,accreditation_award_date,"The year, month and day when an accreditation was awarded."
OrganizationAccreditation,AccreditationExpirationDate,accreditation_expiration_date,"The year, month and day when an accreditation expires."
Activity,ActivityDescription,activity_description,"A description of the events and procedures that take place under the purview of an organized activity, such as a co-curricular or extra-curricular activity that is offered at an education institution."
ActivityMembership,ActivityInvolvementBeginDate,activity_involvement_begin_date,"The year, month and day on which the person began to participate in the activity."
ActivityMembership,ActivityInvolvementEndDate,activity_involvement_end_date,"The year, month and day on which the person ceased to participate in the activity."
K12StudentActivity,ActivityTimeInvolved,activity_time_involved,"The amount of time the student participated in the events and procedures of an activity, such as a co-curricular or extra-curricular activity that is offered at an education institution."
OrganizationTitle,ActivityTitle,activity_title,"The title for a particular activity, such as a co-curricular or extra-curricular activity."
AccessibilityFeature,AdaptiveAndSpecializedEquipmentOrFurnitureDescription,adaptive_and_specialized_equipment_or_furniture_description,The description of the furniture or equipment used to address physical or sensory needs.
LocationAddress,AddressApartmentRoomOrSuiteNumber,address_apartment_room_or_suite_number,"The apartment, room, or suite number of an address."
LocationAddress,AddressCity,address_city,The name of the city in which an address is located.
